method,dataset,mean,std
CTGAN,Adult,0.0,0.000
CTGAN,Beijing,0.0,0.000
CTGAN,Default,0.0,0.000
CTGAN,Diabetes,0.002,0.000
CTGAN,Magic,0.001,0.000
CTGAN,News,0.006,0.000
CTGAN,Shoppers,0.01,0.001
CTGAN,Average,0.003,
TVAE,Adult,0.167,0.002
TVAE,Beijing,0.001,0.000
TVAE,Default,0.008,0.000
TVAE,Diabetes,0.44,0.002
TVAE,Magic,0.009,0.001
TVAE,News,0.018,0.001
TVAE,Shoppers,0.073,0.002
TVAE,Average,0.102,
GReaT,Adult,0.0,0.000
GReaT,Beijing,0.036,0.001
GReaT,Default,0.239,0.002
GReaT,Diabetes,,
GReaT,Magic,0.049,0.002
GReaT,News,,
GReaT,Shoppers,0.219,0.005
GReaT,Average,0.109,
STaSy,Adult,0.028,0.001
STaSy,Beijing,0.013,0.001
STaSy,Default,0.018,0.001
STaSy,Diabetes,,
STaSy,Magic,0.031,0.001
STaSy,News,0.01,0.000
STaSy,Shoppers,0.011,0.001
STaSy,Average,0.016,
CoDi,Adult,0.002,0.000
CoDi,Beijing,0.0,0.000
CoDi,Default,0.0,0.000
CoDi,Diabetes,0.0,0.000
CoDi,Magic,0.012,0.001
CoDi,News,0.0,0.000
CoDi,Shoppers,0.009,0.001
CoDi,Average,0.003,
TabSyn,Adult,0.043,0.001
TabSyn,Beijing,0.015,0.001
TabSyn,Default,0.031,0.001
TabSyn,Diabetes,0.021,0.001
TabSyn,Magic,0.016,0.001
TabSyn,News,0.022,0.001
TabSyn,Shoppers,0.048,0.002
TabSyn,Average,0.028,
TabDiff,Adult,0.046,0.001
TabDiff,Beijing,0.017,0.001
TabDiff,Default,0.04,0.001
TabDiff,Diabetes,0.036,0.001
TabDiff,Magic,0.014,0.001
TabDiff,News,0.021,0.001
TabDiff,Shoppers,0.056,0.002
TabDiff,Average,0.033,
SimpleFactors,Adult,0.0,0.000
SimpleFactors,Beijing,0.0,0.000
SimpleFactors,Default,0.0,0.000
SimpleFactors,Diabetes,0.001,0.000
SimpleFactors,Magic,0.0,0.000
SimpleFactors,News,0.0,0.000
SimpleFactors,Shoppers,0.0,0.000
SimpleFactors,Average,0.0,
FullyFactorizedPreprocessed,Adult,0.001,0.000
FullyFactorizedPreprocessed,Beijing,0.002,0.000
FullyFactorizedPreprocessed,Default,0.0,0.000
FullyFactorizedPreprocessed,Diabetes,0.001,0.000
FullyFactorizedPreprocessed,Magic,0.0,0.000
FullyFactorizedPreprocessed,News,0.0,0.000
FullyFactorizedPreprocessed,Shoppers,0.002,0.000
FullyFactorizedPreprocessed,Average,0.001,
ShallowMixture,Adult,0.033,0.001
ShallowMixture,Beijing,0.014,0.000
ShallowMixture,Default,0.014,0.001
ShallowMixture,Diabetes,0.003,0.000
ShallowMixture,Magic,0.015,0.001
ShallowMixture,News,0.003,0.000
ShallowMixture,Shoppers,0.026,0.002
ShallowMixture,Average,0.015,
TabPC,Adult,0.047,0.001
TabPC,Beijing,0.015,0.001
TabPC,Default,0.029,0.001
TabPC,Diabetes,0.033,0.001
TabPC,Magic,0.027,0.001
TabPC,News,0.017,0.001
TabPC,Shoppers,0.061,0.003
TabPC,Average,0.033,
